version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 13.220.36.73 39534 443 6 4 232 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 209.54.177.247 172.31.17.14 443 33008 6 24 7428 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 13.220.36.73 172.31.17.14 443 39534 6 4 232 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 209.54.182.67 36208 443 6 17 4904 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 209.54.177.247 51558 443 6 20 5213 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 209.54.177.247 33008 443 6 16 5945 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 23.95.49.216 53768 123 17 1 76 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 34.95.113.255 172.31.17.14 443 43710 6 12 2211 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 34.95.113.255 43710 443 6 14 2075 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 34.120.127.130 37094 443 6 17 1645 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 98.87.175.149 172.31.17.14 443 38562 6 4 561 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 34.120.127.130 172.31.17.14 443 37100 6 70 82591 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 34.95.113.255 40204 443 6 34 24679 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.143.246 172.31.17.14 443 48790 6 26 7560 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.150.99 172.31.17.14 443 44296 6 21 7278 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 34.120.127.130 37100 443 6 32 4338 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 185.125.190.58 41330 123 17 1 76 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 13.217.79.129 172.31.17.14 443 44382 6 4 232 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 23.95.49.216 172.31.17.14 123 53768 17 1 76 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 142.202.190.19 172.31.17.14 123 47166 17 1 76 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 34.120.162.240 172.31.17.14 443 41168 6 24 20606 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 44.216.199.76 49898 443 6 3 180 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 13.217.79.129 52174 443 6 2 128 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 89.248.163.181 172.31.17.14 35540 1453 6 1 52 1764302590 1764302658 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 206.168.35.77 172.31.17.14 38891 500 17 1 420 1764302590 1764302658 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 44.216.199.76 172.31.17.14 443 49898 6 4 232 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 147.185.133.229 172.31.17.14 53250 41000 6 1 44 1764302590 1764302658 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 176.65.149.35 172.31.17.14 40299 8001 6 1 52 1764302590 1764302658 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 98.87.175.149 41226 443 6 7 340 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 34.95.113.255 172.31.17.14 443 40204 6 21 3144 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 209.54.177.247 47802 443 6 19 4972 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 209.54.177.247 172.31.17.14 443 51252 6 26 7560 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 185.125.190.57 172.31.17.14 123 34971 17 1 76 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 98.87.175.149 172.31.17.14 443 41226 6 6 665 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 35.203.211.46 172.31.17.14 53599 22345 6 1 44 1764302590 1764302658 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 209.54.182.67 172.31.17.14 443 36208 6 22 7324 1764302590 1764302658 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 162.216.150.202 172.31.17.14 50099 9404 6 1 44 1764302590 1764302658 REJECT OK
